NomeLoja;LojaCampea;EnderecoWeb;Cidade;Estrelas;Segmento;Distancia;Tempo;Frete
Fred's Pizza;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/freds-pizza-alto-sao-miguel/d2d5f37a-b4c4-437d-baa1-447fdb26fe34;abreu-e-lima-pe;Novidade;Pizza;3.7 km;Fechado;R$ 7,00
Tavares Burguer;Não;https://www.ifood.com.br/delivery/igarassu-pe/tavares-burguer-agamenon-magalhaes/502b198a-3435-4ed6-8dcd-2f04b2f7c06a;igarassu-pe;4.9;Lanches;3.7 km;Fechado;R$ 5,00
Kit Festa Bem Casado Salgaderia e Doceria;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/kit-festa-bem-casado-salgaderia-e-doceria-boa-esperanca/bafe48ca-3bb4-4a4e-b6ee-639a2e210928;abreu-e-lima-pe;Novidade;Salgados;3.8 km;Fechado;R$ 6,99
Sucfit;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sucfit-matinha/23ec4a81-5df1-4a80-b0fa-44803e27e36b;abreu-e-lima-pe;Novidade;Saudável;3.8 km;Fechado;R$ 7,00
Doce Cacau;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/doce-cacau-matinha/d96b8719-b53c-4e71-afdd-49719397a897;abreu-e-lima-pe;Novidade;Doces & Bolos;3.8 km;Fechado;R$ 6,99
Le Doceria;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/le-doceria-matinha/ea96575d-aaf9-4c9b-8ef8-495e313567fa;abreu-e-lima-pe;Novidade;Doces & Bolos;3.8 km;Fechado;R$ 6,99
Cheff Lanches;Não;https://www.ifood.com.br/delivery/igarassu-pe/cheff-lanches-centro/5699b884-c0d8-40bf-a1bd-6f329ec8fdbf;igarassu-pe;Novidade;Lanches;3.9 km;Fechado;R$ 8,99
Hamburgueria e Açaí da Mabelle;Não;https://www.ifood.com.br/delivery/igarassu-pe/hamburgueria-e-acai-da-mabelle-agamenon-magalhaes/8a970752-62e5-499f-9311-d9eab3c84a99;igarassu-pe;Novidade;Açaí;3.9 km;Fechado;R$ 5,00
Galeto do Neto;Não;https://www.ifood.com.br/delivery/igarassu-pe/galeto-do-neto-agamenon-magalhaes/484972ae-6571-4465-bf7a-c676fcee5ec1;igarassu-pe;5.0;Brasileira;4.0 km;Fechado;R$ 7,00
Big Lanches;Não;https://www.ifood.com.br/delivery/igarassu-pe/big-lanches-centro/d6b1b94d-0659-4ff3-a28b-e80fbe790f4e;igarassu-pe;4.8;Lanches;4.1 km;Fechado;R$ 8,99
Shirley Rocha Cakes;Não;https://www.ifood.com.br/delivery/igarassu-pe/shirley-rocha-cakes-agamenon-magalhaes/f1f434df-9a5f-4cad-a16b-16b3a1c760e6;igarassu-pe;Novidade;Doces & Bolos;4.1 km;Fechado;R$ 9,99
Espetinho do Irmão;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/espetinho-do-irmao-alto-sao-miguel/e8cede67-e4f4-4778-ab67-7ac7fbc3addd;abreu-e-lima-pe;-;Brasileira;4.1 km;Fechado;R$ 10,99
Petiscaria São Miguel;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/petiscaria-sao-miguel-alto-sao-miguel/4ee494aa-a3b1-4dc3-a4a3-e1910c4b6ceb;abreu-e-lima-pe;-;Brasileira;4.1 km;Fechado;R$ 10,00
Doce Sonho;Não;https://www.ifood.com.br/delivery/igarassu-pe/doce-sonho-agamenon-magalhaes/26349cb1-901b-4f19-880d-1f72c97aec0c;igarassu-pe;Novidade;Doces & Bolos;4.1 km;Fechado;R$ 8,99
A Casa do Pastel 103;Não;https://www.ifood.com.br/delivery/igarassu-pe/a-casa-do-pastel-103-santa-rita/78369ecd-6911-4fc9-a266-41e6bb54c6a9;igarassu-pe;Novidade;Pastel;4.1 km;Fechado;R$ 9,99
Loja de Conveniência Br Mania;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/loja-de-conveniencia-br-mania-centro/2eaf2954-4f68-4025-8c86-27054fa45844;abreu-e-lima-pe;Novidade;Conveniência;4.1 km;Fechado;R$ 11,99
Açaí da Linda - o Arretado de Bom;Não;https://www.ifood.com.br/delivery/igarassu-pe/acai-da-linda---o-arretado-de-bom-agamenon-magalhaes/74a9d72e-6511-494d-a51e-be3fe7c83949;igarassu-pe;-;Lanches;4.1 km;Fechado;R$ 8,99
Cuscuz e Açai  Regional;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/cuscuz-e-acai--regional-santa-rita/9bafc067-2bcb-4ee1-b423-03c004c79fc8;abreu-e-lima-pe;-;Açaí;4.1 km;Fechado;R$ 5,00
Rekantosushi Temakeria.;Não;https://www.ifood.com.br/delivery/igarassu-pe/rekantosushi-temakeria-agamenon-magalhaes/3b71b21e-346e-4af9-a02a-31e9f6fbebbc;igarassu-pe;3.7;Japonesa;4.1 km;Fechado;R$ 7,00
Gloriosa Temakeria;Não;https://www.ifood.com.br/delivery/igarassu-pe/gloriosa-temakeria-agamenon-magalhaes/48434025-a36d-428c-9dc7-4aa95bcc7392;igarassu-pe;4.6;Japonesa;4.1 km;Fechado;R$ 7,00
Petisco Caseiro;Não;https://www.ifood.com.br/delivery/igarassu-pe/petisco-caseiro-centro/4235e562-0001-437a-9e35-9da466fbc591;igarassu-pe;Novidade;Brasileira;4.2 km;Fechado;R$ 12,00
Point do Acarajé e Tapiocaria;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/point-do-acaraje-e-tapiocaria-jardim-caetes/c72461a2-414d-4f23-9beb-afa5351712c7;abreu-e-lima-pe;Novidade;Africana;4.2 km;Fechado;R$ 8,99
Kommidas Delivery;Não;https://www.ifood.com.br/delivery/igarassu-pe/kommidas-delivery-agamenon-magalhaes/7a6c3c40-6c49-4022-badf-2018311c02fd;igarassu-pe;Novidade;Lanches;4.2 km;Fechado;R$ 8,00
Expresso Comida;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/expresso-comida-jardim-caetes/00e78dc8-9dab-4f06-beec-67f37f8bef02;abreu-e-lima-pe;Novidade;Brasileira;4.3 km;Fechado;R$ 8,99
Mestre Chinês- Shopping Igarassu;Não;https://www.ifood.com.br/delivery/igarassu-pe/mestre-chines--shopping-igarassu-centro/68897060-76b2-4424-ad93-10b9fd6a2f2c;igarassu-pe;Novidade;Chinesa;4.3 km;Fechado;R$ 9,99
Doceria Celly Cavalcanti;Não;https://www.ifood.com.br/delivery/igarassu-pe/doceria-celly-cavalcanti-bela-vista/6c7bf900-81f2-45ba-8d51-8fe121882ca2;igarassu-pe;5.0;Doces & Bolos;4.3 km;Fechado;R$ 8,99
Almoço da Vera;Não;https://www.ifood.com.br/delivery/igarassu-pe/almoco-da-vera-agamenon-magalhaes/480080a3-bf6e-4773-8700-f4388fcee033;igarassu-pe;Novidade;Marmita;4.3 km;Fechado;R$ 9,99
Carlito Pizza e Lanches;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/carlito-pizza-e-lanches-alto-sao-miguel/30412223-343e-4430-a5c9-7525be1c1df9;abreu-e-lima-pe;4.8;Brasileira;4.3 km;Fechado;R$ 7,00
Erivan Açaí - Cupom de 10,00 de Desconto Disponível;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/erivan-acai---cupom-de-1000-de-desconto-disponivel-centro/01219431-5cdb-4211-b572-a767a7e82c95;abreu-e-lima-pe;Novidade;Açaí;4.3 km;Fechado;R$ 8,99
Willburguer Comedoria;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/willburguer-comedoria-boa-esperanca/c14745cb-2faa-4a38-b8b4-2ccc69f7b09c;abreu-e-lima-pe;Novidade;Lanches;4.3 km;Fechado;R$ 6,00
No Forno;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/no-forno-centro/9e419f64-1da1-4fbe-9608-426f1b4962c2;abreu-e-lima-pe;-;Pizza;4.4 km;Fechado;R$ 9,00
Dona Zezé;Não;https://www.ifood.com.br/delivery/igarassu-pe/dona-zeze-campina-de-feira/4e71aa33-1898-4fce-8989-56ddbe67b45c;igarassu-pe;4.5;Brasileira;4.5 km;Fechado;R$ 5,00
Delicie Ice Cream;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/delicie-ice-cream-centro/0f810d65-d264-4d1d-9c8d-ac972f39850d;abreu-e-lima-pe;Novidade;Sorvetes;4.5 km;Fechado;R$ 7,99
Jr Hamburgueria;Não;https://www.ifood.com.br/delivery/igarassu-pe/jr-hamburgueria-campina-de-feira/f06bdff1-e90e-4412-85da-185352b4146e;igarassu-pe;Novidade;Hambúrguer;4.5 km;Fechado;R$ 10,99
Sorvetes Frosty - Abreu e Lima;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sorvetes-frosty---abreu-e-lima-centro/dbb6ed7d-9ad8-4321-b954-b068c59284d4;abreu-e-lima-pe;5.0;Sorvetes;4.5 km;Fechado;R$ 6,99
Amigas Açai;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/amigas-acai-centro/81609309-9542-46ec-a2a5-5106f1dd3601;abreu-e-lima-pe;Novidade;Açaí;4.5 km;Fechado;Grátis
Ponto Bom Frios e Laticínios e Lanchonet;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/ponto-bom-frios-e-laticinios-e-lanchonet-boa-esperanca/36018ef5-c3f2-4f7d-9c28-5ae85559b964;abreu-e-lima-pe;Novidade;Brasileira;4.5 km;Fechado;R$ 11,49
