NomeLoja;LojaCampea;EnderecoWeb;Cidade;Estrelas;Segmento;Distancia;Tempo;Frete
Coxinhas Du Chef;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/coxinhas-du-chef-planalto/f8ab56e1-eaab-40d2-960e-b2b9114af904;abreu-e-lima-pe;4.9;Salgados;4.7 km;70-80 min;R$ 7,00
Box China;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/box-china-planalto/f100b98e-25ea-4e9d-aad0-2bdb99c5f2fc;abreu-e-lima-pe;4.9;Chinesa;4.7 km;43-53 min;R$ 8,99
Golias Delivery;Não;https://www.ifood.com.br/delivery/igarassu-pe/golias-delivery-bela-vista/b85d638e-9e99-4b43-8477-3e31b76f1c89;igarassu-pe;4.9;Argentina;4.8 km;54-64 min;R$ 8,99
Caminho da Ilha;Não;https://www.ifood.com.br/delivery/igarassu-pe/caminho-da-ilha-centro/889f6b4b-f782-4fd0-b05e-e2d77a8ceb8d;igarassu-pe;4.5;Brasileira;4.9 km;70-80 min;R$ 7,00
Ki Tapioca Gourmet;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/ki-tapioca-gourmet-centro/260ac7d4-7daa-4da9-96fd-bcc6e7cc3bbe;abreu-e-lima-pe;4.6;Brasileira;4.9 km;45-55 min;R$ 8,99
Marrom Glacê;Não;https://www.ifood.com.br/delivery/recife-pe/marrom-glace-timbo/f45e0d17-f649-450f-9f11-0bb5937ea98f;recife-pe;4.7;Lanches;5.0 km;70-80 min;R$ 15,00
Rei do Açai;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/rei-do-acai-timbo/8e124549-a175-42d3-aabe-5e48c02f3a92;abreu-e-lima-pe;Novidade;Açaí;5.0 km;41-51 min;R$ 9,99
Pizzaria Italiana & Burgueria;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/pizzaria-italiana--burgueria-timbo/c3d20380-6a6c-4328-ab4c-7032f9807d54;abreu-e-lima-pe;Novidade;Pizza;5.0 km;40-50 min;R$ 9,99
Pizzaria Italiana & Burgueria;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/pizzaria-italiana--burgueria-timbo/c4c1ea36-2cea-4a34-80c9-b4a90ddefcbe;abreu-e-lima-pe;5.0;Pizza;5.0 km;52-62 min;R$ 13,99
Império dos Salgados;Sim;https://www.ifood.com.br/delivery/abreu-e-lima-pe/imperio-dos-salgados-timbo/f145d35f-396a-4be8-a669-31fde259ecf4;abreu-e-lima-pe;4.8;Salgados;5.1 km;41-51 min;R$ 12,99
Dallas Burguers;Sim;https://www.ifood.com.br/delivery/abreu-e-lima-pe/dallas-burguers-caetes-iii/c2a4418a-c91e-4f83-97f2-76a3d706187b;abreu-e-lima-pe;4.8;Lanches;5.3 km;51-61 min;R$ 8,99
Pizza do Chef;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/pizza-do-chef-timbo/19fe6b4c-c19b-4e02-a0bf-326930f87d70;abreu-e-lima-pe;4.2;Pizza;5.4 km;45-55 min;Grátis
Pequena Flor Sorvetes & Gostosuras;Não;https://www.ifood.com.br/delivery/igarassu-pe/pequena-flor-sorvetes--gostosuras-sitio-dos-marcos/6e520d04-f3c2-4f1c-8fd2-5f5b75f64944;igarassu-pe;5.0;Sorvetes;5.4 km;51-61 min;R$ 11,99
D'geleia Gourmet (geladinhos Gourmet );Não;https://www.ifood.com.br/delivery/igarassu-pe/dgeleia-gourmet-geladinhos-gourmet--tabatinga/abae15ff-3f39-455b-88b5-b82156e88f1f;igarassu-pe;4.8;Doces & Bolos;5.7 km;48-58 min;R$ 12,99
Cantinho do Açaí;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/cantinho-do-acai-caetes-i/230c5e67-c41a-42e0-b81e-f0abde0cd10c;abreu-e-lima-pe;4.9;Açaí;5.8 km;36-46 min;R$ 11,99
Cia do Pastel;Não;https://www.ifood.com.br/delivery/paulista-pe/cia-do-pastel-jaguaribe/0f2f95a3-6e13-44ee-811e-0626968a2359;paulista-pe;4.8;Pastel;5.9 km;45-55 min;R$ 8,99
Capitão Barca;Não;https://www.ifood.com.br/delivery/paulista-pe/capitao-barca-artur-lundgren-i/d347629d-d074-49ae-b7cc-def32091c415;paulista-pe;4.6;Lanches;6.5 km;54-64 min;R$ 12,99
Sorvetes Frosty - Caetés;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sorvetes-frosty---caetes-caetes-i/a045f15b-d8ec-4c5b-8d1e-115aab4ed840;abreu-e-lima-pe;5.0;Sorvetes;6.7 km;34-44 min;R$ 19,98
Senhor Batata;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/senhor-batata-caetes-i/483bf29c-f4ac-4ca1-ac18-9303a8ee0e92;abreu-e-lima-pe;Novidade;Lanches;6.7 km;44-54 min;R$ 19,98
Sr. Batata;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sr-batata-caetes-i/50b46bcc-ceea-48c3-9fe6-f368027840b3;abreu-e-lima-pe;Novidade;Lanches;6.7 km;39-49 min;R$ 19,98
Mix Acaiteriia;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/mix-acaiteriia-caetes-i/1f10edf0-0483-49fd-84d8-64ad3ee4beaa;abreu-e-lima-pe;4.8;Açaí;6.8 km;44-54 min;R$ 19,98
Ateliê de Doces;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/atelie-de-doces-caetes-i/e72f4c3e-da84-4540-b4cf-1ceb544b1f02;abreu-e-lima-pe;Novidade;Doces & Bolos;7.0 km;47-57 min;R$ 19,98
Mundo Burguer;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/mundo-burguer-caetes-i/510d6ef3-bfc2-46b0-8efb-e14e327e78b9;abreu-e-lima-pe;5.0;Lanches;7.0 km;59-69 min;R$ 19,98
Império do Açaí;Não;https://www.ifood.com.br/delivery/igarassu-pe/imperio-do-acai-alto-do-ceu/bc001622-2ad2-41fa-9433-42beeee0e8aa;igarassu-pe;4.6;Açaí;7.0 km;50-60 min;R$ 7,00
