NomeLoja;EnderecoWeb;Endereco;Cidade;CEP;CNPJ;Horario;GrupoCardapio
Di sabor pizzaria;https://www.ifood.com.br/delivery/igarassu-pe/di-sabor-pizzaria-santa-maria/0c020253-4b9e-4390-93b5-f8daf8cc7f03;Rua Paraíba, 54 - Santa Maria;Igarassu - PE;53630-115;43.518.700/0001-85;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['bebidas']
Lg Lanches e Açaí;https://www.ifood.com.br/delivery/igarassu-pe/lg-lanches-e-acai-saramandaia/5a53ce9e-4b60-4815-8d3d-ac7a32d6e03f;Rua Fábio Correia, 93 - Saramandaia;Igarassu - PE;53620-425;46.795.537/0001-96;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['açai', 'hamburguer', 'salgados e doces', 'pasteis', 'batata frita', 'bebidas']
Kony Temakeria e Sushi Bar;https://www.ifood.com.br/delivery/igarassu-pe/kony-temakeria-e-sushi-bar-centro/98586410-eea0-4b01-b26b-d3d8c5c50ec5;Av. Vinte e Sete de Setembro, 761 - Centro;Igarassu - PE;53620-526;34.487.564/0001-12;['Segunda-feira - 18:00 às 23:30', 'Terça-feira - 18:00 às 23:30', 'Quarta-feira - 18:00 às 23:30', 'Quinta-feira - 18:00 às 23:30', 'Sexta-feira - 18:00 às 23:30', 'Sábado - 18:00 às 23:30', 'Domingo - 18:00 às 23:30'];['entradas', 'temakis', 'temakis quentes']
Blue Açaiteria & Comedoria;https://www.ifood.com.br/delivery/igarassu-pe/blue-acaiteria--comedoria-saramandaia/255bc8e3-ca2e-48a4-9313-04e7a6f3757b;Rua Vereador Walfrido Uchôa Cavalcante, 369 - Saramandaia;Igarassu - PE;53620-545;39.155.558/0001-81;['Segunda-feira - 18:00 às 22:15', 'Terça-feira - 18:00 às 22:15', 'Quarta-feira - 18:00 às 22:15', 'Quinta-feira - 18:00 às 22:15', 'Sexta-feira - 18:00 às 22:15', 'Sábado - 18:00 às 22:15', 'Domingo - 18:00 às 22:15'];['hamburguer artesanal', 'combos família 01', 'combos família 02', 'refrigerantes']
Master Burguer;https://www.ifood.com.br/delivery/igarassu-pe/master-burguer-posto-de-monta/bd841109-25e8-4245-9fca-1e01d2c60462;Rua Austria, 51 - Posto de Monta;Igarassu - PE;53620-666;39.382.972/0001-23;['Segunda-feira - 18:00 às 23:00', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['entradas', 'hambúrgueres', 'hot dogs', 'combos', 'bebidas', 'cervejas long neck']
Dias Sempre Doces;https://www.ifood.com.br/delivery/igarassu-pe/dias-sempre-doces-posto-de-monta/64ce7845-fea4-44bf-bb38-b964559846ee;Rua Austrália, 21 - Posto de Monta;Igarassu - PE;53620-697;45.607.200/0001-45;['Segunda-feira - 12:00 às 15:00 - 18:00 às 23:00', 'Terça-feira - 12:00 às 15:00 - 18:00 às 23:00', 'Quarta-feira - 12:00 às 15:00 - 18:00 às 23:00', 'Quinta-feira - 12:00 às 15:00 - 18:00 às 23:00', 'Sexta-feira - 12:00 às 15:00', 'Sábado - 12:00 às 15:00', 'Domingo - 21:00 às 23:00'];['destaques', 'trufas']
Chama Petiscaria;https://www.ifood.com.br/delivery/igarassu-pe/chama-petiscaria-centro/3b735930-0886-4abc-ab1a-e98ed2b65bbf;Rua Guilherme Jorge Paes Barreto, 1694 - Centro;Igarassu - PE;53610-090;44.601.504/0001-32;['Segunda-feira - 17:00 às 23:00', 'Terça-feira - 16:00 às 23:00', 'Quarta-feira - 16:00 às 23:00', 'Quinta-feira - 13:15 às 23:00', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - 16:00 às 23:00'];['-']
Delivery Bom Sabor da Madrugada;https://www.ifood.com.br/delivery/abreu-e-lima-pe/delivery-bom-sabor-da-madrugada-desterro/8fa870a2-4db5-4c51-9d9f-7914b85e34b4;Avenida Tejipió, 320 - Desterro;Abreu e Lima - PE;53570-130;40.419.336/0001-08;['Segunda-feira - 11:00 às 22:00', 'Terça-feira - 11:00 às 14:00', 'Quarta-feira - 11:00 às 14:00', 'Quinta-feira - 11:00 às 22:00', 'Sexta-feira - 08:00 às 22:00', 'Sábado - 08:00 às 22:00', 'Domingo - 08:00 às 22:00'];['galeto']
Caminho da Ilha - Aerodromo;https://www.ifood.com.br/delivery/igarassu-pe/caminho-da-ilha---aerodromo-santa-rita/cb26336b-5c32-4439-89c6-ec43d6bde979;Estrada de Nova Cruz, 0 - Santa Rita;Igarassu - PE;53620-804;42.237.129/0001-68;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['regional', 'almoço', 'almoço .', 'bebidas']
Vila Gourmet - Coxinha Massa de Batata;https://www.ifood.com.br/delivery/igarassu-pe/vila-gourmet---coxinha-massa-de-batata-areia-branca/262bb772-70aa-4fd3-8410-6f4ec9f7990e;R. José Sebastião de Oliveira, 111 - Areia Branca;Igarassu - PE;53620-650;48.643.924/0001-32;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 16:30 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 15:00 às 17:00', 'Sábado - 17:00 às 23:00', 'Domingo - 15:30 às 23:00'];['coxinha massa de batata', 'bebidas']
Comidas Nordestina Pe;https://www.ifood.com.br/delivery/igarassu-pe/comidas-nordestina-pe-saramandaia/32ce7cde-8231-4228-b7c4-d523d24e251c;Avenida Agro Industrial de Igarassu, 109 - Saramandaia;Igarassu - PE;53620-436;45.180.713/0001-12;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - 11:00 às 15:30', 'Domingo - 11:00 às 14:00'];['cupom de desconto', 'bebidas']
Kasa dos Doces;https://www.ifood.com.br/delivery/igarassu-pe/kasa-dos-doces-posto-de-monta/0571646f-2214-4730-8a26-4e3029aadcb5;Rua Ceilão, 29 - Posto de Monta;Igarassu - PE;53620-663;45.590.631/0001-46;['Segunda-feira - 12:00 às 17:00', 'Terça-feira - 13:00 às 19:00', 'Quarta-feira - 13:00 às 19:00', 'Quinta-feira - 13:00 às 16:15', 'Sexta-feira - 12:00 às 16:00', 'Sábado - Não abre', 'Domingo - Não abre'];['bolo', 'bombom de uva', 'cupom de desconto!', 'doces']
Sacolé da Adri;https://www.ifood.com.br/delivery/igarassu-pe/sacole-da-adri-saramandaia/37b7ad31-d82a-458e-b06e-9efe5b33dec0;Avenida Agro Industrial de Igarassu, 102 - Saramandaia;Igarassu - PE;53620-436;43.722.459/0001-01;['Segunda-feira - 11:00 às 22:00', 'Terça-feira - 11:00 às 22:00', 'Quarta-feira - 11:00 às 22:00', 'Quinta-feira - 11:00 às 22:00', 'Sexta-feira - 11:00 às 22:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 22:00'];['sacolé artesanal', 'delícias gelato']
