NomeLoja;EnderecoWeb;Endereco;Cidade;CEP;CNPJ;Horario;GrupoCardapio
Fast Burger;https://www.ifood.com.br/delivery/igarassu-pe/fast-burger-agamenon-magalhaes/0a4ef71c-aa46-4d7c-90f0-ed0ac2cddbae;Rua Santa Terezinha, 59 - Agamenon Magalhães;Igarassu - PE;53640-182;45.801.684/0001-69;['Segunda-feira - Não abre', 'Terça-feira - 17:00 às 23:00', 'Quarta-feira - 17:00 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 17:00 às 23:00', 'Domingo - 17:00 às 23:00'];['pegue seu código com 10$ de desconto', 'burgers', 'burgers duplo', 'porções', 'bebidas']
Yoga Comida Japonesa Delivery;https://www.ifood.com.br/delivery/abreu-e-lima-pe/yoga-comida-japonesa-delivery-alto-sao-miguel/b35ba8f1-4d25-42e5-9c05-bdb974dedab7;Casa, 1169 - Alto São Miguel;Abreu e Lima - PE;53565-380;27.618.635/0001-03;['Segunda-feira - 17:30 às 23:30', 'Terça-feira - 17:30 às 23:30', 'Quarta-feira - 17:30 às 23:30', 'Quinta-feira - 17:30 às 23:30', 'Sexta-feira - 17:30 às 23:30', 'Sábado - 13:30 às 23:30', 'Domingo - 11:00 às 23:30'];['destaques', 'combinados ', 'sushi', 'sashimi', 'hossomakis', 'cariocas', 'hot roll', 'especiais', 'promoção']
Japa Sette e Pizza Sette;https://www.ifood.com.br/delivery/abreu-e-lima-pe/japa-sette-e-pizza-sette-centro/a9cb9d46-2180-476a-bd68-48bd4d148605;Avenida Duque de Caxias, 1130 - Centro;Abreu e Lima - PE;53510-050;42.203.227/0001-84;['Segunda-feira - 11:00 às 22:30', 'Terça-feira - 11:00 às 22:30', 'Quarta-feira - 11:00 às 22:30', 'Quinta-feira - 11:00 às 22:30', 'Sexta-feira - 11:00 às 22:30', 'Sábado - 11:00 às 22:30', 'Domingo - 11:00 às 22:30'];['entradas', 'pizza', 'pratos executivos', 'frutos do mar', 'para compartilhar', 'cozinha chinesa - pratos para 1 pessoa', 'combinado de salmão', 'japonês', 'combos', 'pizza doce']
Stive Burger'rs;https://www.ifood.com.br/delivery/igarassu-pe/stive-burgerrs-agamenon-magalhaes/967617a2-cc80-47a0-a415-3fa6d27b9811;Rua Violeta, 342 - Agamenon Magalhães;Igarassu - PE;53640-470;41.152.779/0001-48;['Segunda-feira - 18:00 às 23:00', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 11:00 às 23:00'];"[""stive burger'rs"", 'combo 2.0', 'clone', 'bebidas']"
Na Chapa Lanchonete;https://www.ifood.com.br/delivery/igarassu-pe/na-chapa-lanchonete-agamenon-magalhaes/925cf89e-e91b-4b1d-b4ad-03e4083a7f85;-;-;-;-;['Segunda-feira - 15:00 às 21:00', 'Terça-feira - 15:00 às 21:00', 'Quarta-feira - 15:00 às 21:00', 'Quinta-feira - 15:00 às 21:00', 'Sexta-feira - 15:00 às 22:00', 'Sábado - 17:00 às 22:00', 'Domingo - 17:00 às 22:00'];['hamburguer', 'batata frita', 'combos', 'salgados', 'mini salgados e doces', 'baguete', 'açaí + creme', 'bebidas']
Familia Eurico;https://www.ifood.com.br/delivery/igarassu-pe/familia-eurico-centro/4775e626-1ecc-4061-b13a-a7723627ef40;Avenida Mário Melo, 20 - Centro;Igarassu - PE;53659-899;33.984.508/0001-20;['Segunda-feira - 17:00 às 22:45', 'Terça-feira - 17:00 às 22:45', 'Quarta-feira - 17:00 às 22:45', 'Quinta-feira - 17:00 às 22:45', 'Sexta-feira - 17:00 às 22:45', 'Sábado - 17:00 às 22:45', 'Domingo - 17:00 às 22:45'];['pizzas grandes', 'hamburguer', 'refrigerante', 'sucos']
Nosso Boteco 1;https://www.ifood.com.br/delivery/igarassu-pe/nosso-boteco-1-centro/f64a4eda-bb8c-435e-88f5-cd0fedb61652;Pe 35, 222 - Centro;Igarassu - PE;53610-530;12.784.935/0002-76;['Segunda-feira - Não abre', 'Terça-feira - 09:15 às 22:30', 'Quarta-feira - 09:15 às 22:30', 'Quinta-feira - 09:15 às 22:30', 'Sexta-feira - 09:15 às 22:00', 'Sábado - 09:15 às 22:30', 'Domingo - 09:15 às 22:30'];['destaques', 'almoço', 'refeições', 'cuscuz recheado nosso boteco', 'pratos completos', 'petisco', 'super combos com produtos coca-cola', 'combos promocionais', 'clones de pizzas', 'pizzas', 'sucos', 'bebidas', 'cervejas', 'sobremesas', 'combos triplos']
Coxinha no Pote;https://www.ifood.com.br/delivery/igarassu-pe/coxinha-no-pote-centro/f65136c2-f02e-4a91-904c-a2ef00e9c876;Avenida Mário Melo, 482 - Centro;Igarassu - PE;53610-595;42.068.977/0001-90;['Segunda-feira - 11:00 às 20:45', 'Terça-feira - 11:00 às 20:45', 'Quarta-feira - 11:00 às 20:45', 'Quinta-feira - 11:00 às 20:45', 'Sexta-feira - 11:00 às 20:45', 'Sábado - 11:00 às 20:45', 'Domingo - 11:45 às 19:45'];['mini coxinha', 'mini churros', 'bebidas']
Pizzaria do Cheffe;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-do-cheffe-centro/141ed7f0-7e53-43ac-86c6-825a09b57ad8;Avenida Mário Melo, 0 - Centro;Igarassu - PE;53610-595;48.099.275/0001-50;['Segunda-feira - 11:00 às 20:45', 'Terça-feira - 11:00 às 20:45', 'Quarta-feira - 11:00 às 20:45', 'Quinta-feira - 11:00 às 20:45', 'Sexta-feira - 11:00 às 20:45', 'Sábado - 11:00 às 20:45', 'Domingo - 11:00 às 20:00'];['pizzas salgadas', 'pizzas doces', 'brotinho', 'bebidas', 'petiscos']
Sr. Burguer - Shopping Igarassu;https://www.ifood.com.br/delivery/igarassu-pe/sr-burguer---shopping-igarassu-centro/8d2679b6-2855-4f1d-8c6d-9ca3e3eb3a48;Av Mario Melo, 0 - Centro;Igarassu - PE;53610-595;30.777.669/0001-55;['Segunda-feira - 11:00 às 21:00', 'Terça-feira - 11:00 às 21:00', 'Quarta-feira - 11:00 às 21:00', 'Quinta-feira - 11:00 às 21:00', 'Sexta-feira - 11:00 às 21:00', 'Sábado - 11:00 às 21:00', 'Domingo - 12:00 às 20:00'];['linha senhor', 'linha senhorzinho', 'milk shake', 'sr. açaí', 'bebidas', 'sr. crispy', 'entradas', 'combos']
